"STTN_ID","STTN_NM","STTN_NM_ENG"
293011063,금천2리마을회관, 
293011072,황용교, 
293011073,황용교, 
293012036,행산리, 
293012037,행산리(미건산업입구), 
293012041,등곡3리(충광농원), 
293011043,감성리, 
293012042,등곡3리(충광농원), 
293012046,등곡리, 
293012048,문곡3리, 
293012050,매포역(노호2리), 
293012051,문곡2리, 
293012052,문곡2리, 
293012053,노호1리, 
293012054,노호1리, 
293012055,등곡2리, 
293012056,등곡2리, 
293013002,운당2리, 
293013007,운당1리, 
293013008,KCC앞, 
293013012,소정면우체국, 
293013013,소정리역, 
293013015,소정면사무소, 
293013016,소정면사무소, 
293013017,소정리입구, 
293013018,소정리, 
293013020,대곡4리, 
293013021,소정육교(맹골), 
293013022,소정육교(맹골), 
293013023,소정육교, 
293013027,고등1리마을회관, 
293014001,수산리, 
293014003,수산리(방아다리), 
293014005,눌왕2리, 
293014006,눌왕2리마을회관, 
293014008,눌왕2리(푸른농원), 
293014009,눌왕2리(푸른농원), 
293011015,영곡2리, 
293001082,세종고등학교, 
293001067,새주막거리, 
293001079,번암아파트, 
293001092,죽림리, 
293001090,조치원전통시장, 
293012045,등곡리, 
293001066,번암삼거리, 
293001072,조치원역뒤편, 
293001075,조치원역뒤편, 
293001076,죽림리, 
293001078,번암아파트, 
293001080,세종고등학교, 
293019011,달전1리, 
186004209,둔곡3교, 
186004148,월드컵경기장역, 
186004227,반석마을입구, 
186004228,반석마을입구, 
186004229,반석역, 
186004230,반석역, 
186004288,온천교, 
186004302,유성자이아파트, 
286055014,금흥교(정보고), 
186004811,지족초등학교, 
186004147,월드컵경기장역, 
186004307,구즉동주민센터입구, 
186004308,구즉동주민센터입구, 
293014018,연기산업단지, 
293014019,연기산업단지, 
293014022,연기면사무소, 
293014023,연기면사무소, 
293014024,한별동, 
293014025,한별동, 
293014026,한별동, 
293014027,한별동, 
293014028,연기리, 
293014030,연기리, 
293056001,도담동(도램마을), 
293055001,세종고속시외버스터미널(지상), 
293055002,세종고속시외버스터미널(지상), 
293014032,실광주유소, 
293014034,세종호수공원, 
293014036,방공학교, 
293014037,보통2리, 
293014038,보통2리, 
293054001,다정동(대성고등학교), 
293054003,다정동, 
293056002,도담동, 
293056005,성금교차로(도램마을9단지), 
293058002,금남초등학교, 
293058001,금남초등학교, 
293058003,신촌리, 
293058006,호탄리, 
293060001,장재리, 
293060002,장재리, 
293060003,한국개발연구원(KDI), 
293060004,한국개발연구원(KDI), 
293057001,한국조세재정연구원, 
293057005,장재리(길재고개), 
293056007,"도램마을14,15단지", 
293056008,양지중학교, 
293061002,아름동커뮤니티센터, 
293061004,범지기마을4단지, 
186004431,안산1통, 
186004432,안산1통, 
186004433,안산산성, 
186004455,외삼삼거리, 
186004534,유성고속버스터미널, 
186004543,죽동네거리, 
186004544,죽동네거리, 
186004620,노은도서관, 
186004622,노은역, 
186004630,송림마을아파트, 
186004638,지족역, 
186004639,지족역, 
186004641,지족초등학교, 
186004701,KT유성지사, 
186004704,외삼1통, 
186004706,안산교, 
186004397,신동, 
293057004,장재리(태련암입구), 
293061006,아름초등학교, 
293062004,다정동, 
293062007,정부세종청사남측, 
293062009,과기정통부(중기부), 
293062010,과기정통부(중기부), 
293062014,정부세종청사북측, 
274002060,오송역, 
274020008,매봉리, 
274020010,현도면행정복지센터.선동리, 
274020012,"시목리, 현도중학교", 
187001379,신탄진동행정복지센터, 
186004320,협진운수, 
270014002,중동사거리, 
186004394,신동2통, 
186004393,신동2통, 
270014003,중동사거리, 
274002001,중봉리, 
274002082,상봉2리(가마소), 
274002084,상봉초등학교, 
274002085,상봉초등학교, 
274002086,서평리, 
274002087,서평리, 
274002088,서평1리, 
274020006,매봉(매봉리 방면), 
274020015,시목리, 
274020017,양지리, 
274020044,시목1리, 
285013003,병천3리, 
274020018,양지2리, 
274020003,달계리, 
186004392,신동1통, 
293016129,연서초등학교, 
293017067,송문리(원송정), 
293013014,소정리역, 
293013019,대곡1리, 
293001081,신동아아파트, 
293001085,세종중학교, 
293001088,조치원전통시장, 
293001091,죽림리, 
293001094,조치원버스터미널, 
293011001,봉안리(다름고개), 
293011002,도남리, 
293011003,도남리, 
293011006,금강수목원(산림박물관), 
293011007,원봉1리, 
293011008,원봉1리, 
293011010,원봉2리, 
293011018,성덕1리, 
293011011,원봉2리마을회관, 
293001021,신안리마을회관, 
293001032,중앙요양병원, 
293001036,신봉초등학교, 
293001020,세종시민체육관, 
293011017,영곡리, 
293011020,국곡리32사단, 
293011022,국곡리, 
293001001,봉산리(국제기계), 
293001002,봉산리(국제기계), 
293001003,봉산리(윗말), 
293001004,봉산리(윗말), 
293001005,봉산리(중뜸), 
293001008,방축골(갑부농원), 
293001009,봉산1리, 
293001010,봉산1리, 
293001011,봉산1리마을회관, 
293001012,봉산1리마을회관, 
293001013,봉산리, 
293001015,한마음효요양병원, 
293001016,한마음효요양병원, 
293001017,서창리, 
293001018,서창리, 
293001022,신안리마을회관, 
293001023,세종여자고등학교, 
293001024,세종여자고등학교, 
293013003,운당2리, 
293001026,조형아파트, 
293001027,조형아파트, 
293001028,구렁말, 
293001031,신안2리입구, 
293001033,중앙요양병원, 
293001037,신흥주공아파트, 
293001043,홍익대학교, 
293001050,신안1리입구, 
293001055,고려대학교, 
293001052,자이아파트, 
293064017,조치원역, 
293015065,명학2리(황룡사), 
293015067,명학2리(황룡사), 
293015066,청정아파트, 
293015070,청정아파트, 
293015069,명학3리, 
293015062,명학리, 
293015055,명학1리, 
293015060,응암리(가마골), 
293001046,자이아파트정문, 
293001047,신안1리, 
293001048,홍익대학교, 
293001051,세종여자고등학교입구, 
293001053,자이아파트, 
293011025,용담1리(옹기마을), 
293011027,금남면사무소, 
293011028,금남면사무소, 
293011031,두만리, 
293011032,두만리, 
293011033,발산리, 
293011034,발산리, 
293016001,청라리, 
293016002,청라2리, 
293016003,청라2리, 
293016004,쌍류보건진료소, 
293016005,쌍류보건진료소, 
293016010,쌍류리, 
293016012,기룡리, 
293016013,와촌3리(은암), 
293016016,용암삼거리, 
293016018,고복저수지, 
293016019,고복저수지, 
293016020,금박골, 
293016021,용암리입구, 
293016022,기룡정미소, 
293016024,기룡리정미소, 
293016026,와촌3리, 
293016027,신대2리(송적골), 
293016029,기룡리복지회관, 
293016031,대륙테크놀로지, 
293016032,대륙테크놀로지, 
293016033,평전, 
293016034,평전, 
293016037,영동부화장, 
293016038,영동부화장, 
293016039,고복2리, 
293016040,고복2리, 
293016042,기룡리(효교동), 
293016043,와촌보건진료소, 
293016044,와촌보건진료소, 
293016046,고복리조각공원, 
293016047,신대2리마을회관, 
293016048,신대2리마을회관, 
293016049,고복저수지입구, 
293016053,고복리, 
293016056,신대1리, 
293016057,신대1리마을회관, 
293016058,신대1리, 
293016061,세종기숙학원, 
293017052,용암2리입구, 
293017054,봉안리(부일가든), 
293017055,금암삼거리, 
293017057,산학리, 
293017058,산학리, 
293017059,봉안리, 
293017061,동원주식회사, 
293017062,영평사입구, 
293017063,영평사입구, 
293018001,베어트리파크, 
293018002,베어트리파크, 
293018003,흥진레미콘, 
293018004,송성1리입구, 
293018005,송성1리입구, 
293018006,흥진레미콘, 
293018007,송성2리입구, 
293018013,미곡리, 
293018014,미곡리, 
293018015,개미고개, 
293018016,개미고개, 
293018019,청람리입구, 
293018020,송정리, 
293018022,청람리, 
293018024,청람1리마을회관, 
293018025,송정2리(구리골), 
293018027,송정리(행골), 
293018030,송정1리(상소골), 
293018031,아람달동림권역체험관, 
293018033,송정1리, 
293018034,송정1리, 
293018036,송정1리(권고조경), 
293018038,청송산업단지입구, 
293018039,석곡리, 
293018040,송곡2리(능골), 
293018041,석곡리, 
293018044,보덕2리마을회관, 
293018045,청송리, 
293018046,석곡리입구, 
293018048,송곡2리, 
293018050,봉대리(평말), 
293018051,봉대리(평말), 
293018052,전동 복컴·면사무소·초등학교, 
293018053,전동 복컴·면사무소·초등학교, 
293018054,봉대리, 
293018055,봉대리, 
293018056,전동역, 
293018057,송곡1리, 
293018058,송곡1리, 
293018060,전동삼거리, 
293018061,전동삼거리, 
293018062,전동삼거리, 
293018064,송곡1리(예비군훈련장), 
293018065,송곡보건진료소, 
293018067,노장농공단지, 
293018069,조치원낚시터, 
293018070,조치원낚시터, 
293018071,심중2리입구, 
293018074,세종시공원묘원, 
293018075,노장3리, 
293018076,노장2리, 
293018077,노장2리, 
293018079,보덕1리, 
293018080,보덕1리, 
293018081,심중1리, 
293018084,심중2리입구, 
293018085,심중2리, 
293018086,심중2리, 
293019001,KCC앞, 
293019003,유천리(어천), 
293019004,유천리(어천), 
293016087,전당골, 
293064236,대곡리, 
293064026,종촌종합복지센터, 
293064027,"종촌초등학교(가재마을1,2단지)", 
293064028,고운중학교, 
293064029,고운중학교, 
293064030,"종촌초등학교(가재마을1,2단지)", 
293064106,가락마을14단지, 
293064107,가락마을14단지, 
293064110,"도램마을8,10단지", 
293064113,"가락마을17,18단지", 
293064114,"가락마을17,18단지", 
293064115,두루고등학교, 
293064116,두루고등학교, 
293064117,"가락마을10,13단지", 
293064119,"가락마을9,11단지", 
293064120,"가락마을9,11단지", 
293064122,으뜸초등학교, 
293064123,고운동커뮤니티센터남측, 
293064124,고운동커뮤니티센터남측, 
293064125,가재마을7단지, 
293064197,신동, 
293064243,"법원.검찰청,경찰청", 
293064204,"고운뜰공원,대법원등기정보센터", 
293064205,"가락마을7,8단지", 
293064245,국책연구단지남측, 
293064246,국책연구단지남측, 
293064213,글벗중학교(새샘마을9단지), 
293064206,보람동.대평동, 
293064208,보람동(호려울마을), 
293064211,"시청,시의회,교육청,세무서", 
293064167,"호려울마을8,9단지", 
293064168,"새샘마을1,2단지", 
293064169,"새샘마을1,2단지", 
293064217,소담동(새샘마을), 
293064214,소담동 새샘마을, 
293064216,소담동 새샘마을, 
293064212,글벗중학교(새샘마을9단지), 
293064170,방공학교, 
293064088,부용농공단지, 
293064087,부용농공단지, 
293064085,성덕교차로, 
293064086,성덕교차로, 
293064165,"세종우체국(남부서,보람초)", 
186004074,대광로제비앙아파트, 
186004052,롯데마트대덕점, 
293064172,노송1리, 
293064173,장군면복지회관, 
293064174,장군면복지회관, 
293064176,평기리, 
293064181,도남삼거리, 
293064182,도남삼거리, 
186004611,용산고등학교, 
186004313,송강마을아파트, 
186004322,휴먼시아아파트, 
293018017,청람리(동막골), 
293018021,청람리, 
293018026,송정2리(구리골), 
293018032,아람달동림권역체험관, 
293018037,청송산업단지입구, 
293018043,청송리, 
293018078,노장3리, 
293018083,심중2리입구, 
293019006,유천리, 
293019049,덕고개, 
293019054,한국콜마, 
293019058,전의중학교, 
293016086,국촌2리마을회관, 
293016097,국촌1리, 
293016102,대원아파트, 
293016110,대원아파트후문, 
293016114,농업기술센터, 
293016119,봉암2리마을회관, 
293017016,평기리(아랫말), 
293017022,용현리, 
293017026,평촌입구, 
293017031,용암1리마을회관, 
293017036,영상마을아파트, 
293017042,금암리(솔정자), 
186004129,금고1통, 
293060005,장재1리, 
293011057,남곡리마을회관, 
293011062,황용2리, 
293011071,황용리, 
293011066,새나루마을1단지, 
293012005,금호2리공단입구, 
293012029,금호리, 
293012025,부강9리, 
293015063,명학리, 
293019069,성호아파트, 
293062008,정부세종청사남측, 
293062013,정부세종청사북측, 
293001049,신안1리입구, 
293011080,황용리삼성복지회관, 
293011104,박산리, 
293011108,박산고개, 
293012015,저산2리, 
293015040,노송1리(노리미), 
293015044,응암농공단지, 
186004434,안산산성, 
186004533,유성고속버스터미널, 
186004621,노은도서관, 
186004640,노은역, 
186004319,협진운수, 
186004131,금고2통, 
293062024,"양지중학교(한뜰마을1,2단지)", 
293064003,첫마을4단지, 
293015068,명학3리, 
293064007,한솔중학교(첫마을7단지), 
293064005,첫마을6단지, 
293064002,첫마을5단지, 
293064010,첫마을3단지, 
293064004,첫마을4단지, 
293016025,효방동, 
293016041,기룡리(효교동), 
293016045,고복리조각공원, 
293062015,성금교차로(세종포스트빌딩), 
293062017,문화체육관광부, 
293062019,정부세종청사 중앙동, 
293062020,정부세종청사 중앙동, 
293062021,공정거래위원회, 
293062025,국무조정실(한뜰마을3단지), 
293063001,가재마을5단지.가온마을6단지, 
293064009,첫마을1단지, 
186004119,충남대학교, 
186004063,서한이다음2단지, 
186004065,구룡2통, 
186004066,구룡2통, 
186004062,구룡, 
186004133,금고동, 
186004136,대동금탄동입구, 
186004128,금고1통, 
186004135,금고동매립장, 
293051006,가람동(이마트앞), 
293019084,동교리, 
293019089,하노곡, 
293053004,새롬동.나성동, 
293018018,청람리입구, 
186004610,용산고등학교, 
293064021,대평리원형교차로, 
186004266,대덕고등학교, 
293064227,리봄화장품, 
293064228,리봄화장품, 
293064230,명학산업단지입구, 
293019007,금사리, 
293019009,달전1리, 
293019019,세종미래산업단지, 
293019020,양곡리, 
293019021,양곡리, 
293019022,유천2리, 
293019023,유천2리, 
293019024,달전리(태호농장), 
293019025,달전리(태호농장), 
293019026,민석아파트입구, 
293019027,민석아파트입구, 
293019028,신방1리(신암골), 
293019030,비암사입구, 
293019031,비암사입구, 
293019032,대전카톨릭대입구, 
293019034,서정2리마을회관, 
293019035,서정2리마을회관, 
293019036,영당리(영성들), 
293019039,영당리(영성들), 
293019040,다방1리마을회관, 
293019041,서정2리, 
293019042,서정2리, 
293019043,부거실(아랫마을), 
293019045,신흥리, 
293019046,신흥리, 
293019047,덕고개, 
293019048,서정1리마을회관, 
293019051,전의산연수원, 
293019052,전의산연수원, 
293019053,한국콜마, 
293019056,원성2리, 
293019057,원성2리, 
293019060,부거실(윗마을), 
293019064,원성리(죽근마을), 
293019065,전의역, 
293019066,전의역, 
293019070,성호아파트, 
293019071,갈정교, 
293019072,갈정교, 
293019073,대추리, 
293016062,은용리, 
293016063,번암터, 
293016065,연서감리교회, 
293016066,연서감리교회, 
293016067,연서중학교, 
293016068,연서중학교, 
293016070,고복1리마을회관, 
293016071,국촌2리, 
293016072,국촌2리, 
293016073,와촌1리(대실), 
293016074,와촌1리(대실), 
293016075,서면, 
293016076,서면, 
293011094,달전리, 
293011106,부용2리, 
293011107,박산고개, 
293012007,산수리입구, 
293012011,부강역, 
293012009,부강리, 
293012008,부강리, 
293019062,관정1리, 
293016079,성제2리, 
293016081,서세종농협, 
293016082,서세종농협, 
293016083,성제삼거리, 
293016084,성제삼거리, 
293016085,국촌2리마을회관, 
293011081,영대1리마을회관, 
293011082,황용사, 
293011084,초정약수터, 
293011085,영대리, 
293011086,영대리, 
293011089,달전리(한울농장), 
293011090,대박리(광덕사), 
293011092,대박리(광덕사), 
293011093,부용1리, 
293011095,달전리, 
293011098,대박리, 
293011099,대박리, 
293011100,망골, 
293011102,박산리(작약골), 
293011103,박산리, 
293011105,부용2리, 
293012002,금호2리노인회관, 
293012004,갈산2리, 
293012006,금호2리공단입구, 
293012028,부강9리, 
293012021,부강초등학교, 
293012023,부강3리, 
293012014,부강역, 
293011088,달전리(한울농장), 
293012022,갈산리, 
293012027,한화사원아파트, 
293015018,예양1리, 
293015019,예양1리, 
293015020,양세오충각, 
293015022,송용리, 
293015023,예양리, 
293015031,내판2리, 
293015026,송용리, 
293015028,내판역, 
293015030,내판역, 
293015032,내판2리, 
293015033,노송2리, 
293015035,연동중학교, 
293015036,연동중학교, 
293015037,노송1리(노리미), 
293015038,교과서박물관, 
293015039,교과서박물관, 
293015043,응암농공단지, 
293016088,성제1리마을회관, 
293016089,성제1리마을회관, 
293016090,쌍전리(우리요양원), 
293016092,부동리마을회관, 
293016093,부동리마을회관, 
293016094,연서면사무소, 
293016098,월하1리마을회관, 
293016099,월하1리마을회관, 
293016100,방축골, 
293016101,대원아파트, 
293016103,국촌1리(함박산), 
293016104,국촌1리(함박산), 
293016105,쌍전리마을회관, 
293016111,세종장례식장, 
293016112,봉암리, 
293016113,봉암리, 
293016115,월하2리, 
293016116,세종교통, 
293016117,세종교통, 
293016118,도원초등학교, 
293016120,세종장례식장입구, 
293016121,세종장례식장입구, 
293016122,세종장례식장입구, 
293016123,세종장례식장입구, 
293016124,월하리(항공학교), 
293016125,월하리(항공학교), 
293016127,월하리, 
293017005,송학2리(하나로마트), 
293017007,은용리, 
293017010,송문리입구, 
293017012,하봉교차로, 
293017013,송문리입구, 
293017014,평기리마을회관, 
293017018,장기중학교, 
293017020,장기중학교, 
293017021,용현리, 
293017023,장군면사무소, 
293017024,장군면사무소, 
293017025,평촌입구, 
293017028,대교1리(밤실입구), 
293017029,장기초등학교, 
293017032,금암리노인정, 
293017033,용암1리마을회관, 
293017034,금암리(웅대원룸), 
293017035,영상마을아파트, 
293017037,금암리(정보마을영조아파트), 
293017038,금암리(정보마을영조아파트), 
293017039,대교리, 
293017040,금암리(그린원룸), 
293017041,금암리(어반스테이), 
293017045,한국영상대학교, 
293017049,봉안리(부일가든), 
293017050,용암2리입구, 
293017051,은용1리, 
293014010,수왕초등학교, 
293014011,수왕초등학교, 
293014012,눌왕1리(도덕농장), 
293014013,눌왕1리(도덕농장), 
293014014,해밀동, 
293011036,용담리, 
293011068,새나루마을8단지, 
293011069,새나루마을9단지, 
293011070,새나루마을9단지, 
293011061,황용2리, 
293011067,새나루마을8단지, 
293011076,산학연클러스터, 
293011077,집현동, 
293012038,부강면생활체육관, 
293011079,집현동, 
293012039,문곡1리, 
293012040,문곡1리, 
293017017,평기리(아랫말), 
293011038,도암리입구, 
293011039,감성초등학교, 
293011040,두만리(산동마을), 
293011041,감성초등학교, 
293011047,송림사입구, 
293011048,축산리마을회관, 
293011049,축산리마을회관, 
293011050,축산리, 
293011051,축산리, 
293011055,금천1리, 
293011059,금천1리마을회관, 
293011060,금천1리마을회관, 
286053001,산성동/시내버스정류장, 
285016025,해정2리, 
293064013,은하수공원, 
293011109,황용리(황용1교), 
293056035,"가재마을7,12단지", 
293056011,"도램마을16,19단지", 
293019095,사관정, 
293017070,용현리(효도마을), 
293017068,송문리(원송정), 
293017066,송문리, 
293017065,송문리, 
293014058,누리동, 
293012057,산수리, 
293001097,죽림리, 
286066004,시목동(터미널 방면), 
286066006,신관사거리, 
286066010,종합버스터미널(신관초방면), 
286070001,옥룡동 회전교차로(터미널), 
286070002,옥룡동 교차로(산성시장 방면), 
286070003,옥룡동 주민센터(시목동방면), 
286070005,옥룡동 회전교차로(산성시장), 
187001378,신탄진동행정복지센터, 
293053011,한솔동, 
293019087,달계리, 
293019077,재동아파트, 
293019078,사관정, 
293019081,중대부, 
293019082,중대부, 
293019085,동교리, 
293019086,신정2리, 
293019088,종성골, 
293019090,하노곡, 
293019091,노곡리종점, 
293051003,열병합발전소, 
293051004,열병합발전소, 
293052001,은하수공원, 
293052002,은하수공원, 
293053003,"새롬동,나성동(청소년센터)", 
293053005,"새롬동,나성동(청소년센터)", 
293053006,새롬동.나성동, 
293053007,첫마을1단지, 
293001068,새주막거리, 
293062006,정부세종청사남측, 
186004207,둔곡동, 
293064006,첫마을6단지, 
274002040,중봉리, 
274002089,동평3리, 
274020007,매봉(양지리 방면), 
274020014,시목1리, 
274020045,시목리, 
293017027,대교1리(밤실입구), 
293017047,용암2리마을회관, 
293011046,송림사입구, 
293011078,황용리삼성복지회관, 
293012047,문곡3리, 
293013011,소정면우체국, 
293014004,눌왕2리, 
293011005,금강수목원(산림박물관), 
293001014,봉산리, 
293001030,신안2리입구, 
293011026,용담1리(옹기마을), 
293016014,와촌3리(은암), 
293016036,조치원노인전문병원, 
293016052,와촌리(기와말), 
293016055,신대1리마을회관, 
293017056,금암삼거리, 
293018008,송성2리입구, 
293018029,송정1리(상소골), 
